,Dongxiang,POS,ORIGIN,Chinese,English
68,ache,Verb,Dongxiang,取来,Fetch
69,ache,Verb,Dongxiang,拿来,Fetch
70,ache,Verb,Dongxiang,带来,Bring
71,ache,Verb,Dongxiang,带来,Bring
72,achedan,Noun,Dongxiang,买来的情形,Purchase
73,achedan,Noun,Dongxiang,买来的情形,Purchase
74,achedan,Noun,Dongxiang,买来的情形,Purchase
75,achedan,Noun,Dongxiang,取来的样子,Appearance
76,achedan,Noun,Dongxiang,取来的样子,Appearance
77,achi,Verb,Dongxiang,驮,Carry
78,achi,Verb,Dongxiang,驮运担负,Portage
79,achi,Verb,Dongxiang,锄草,Weeding
80,achi,Verb,Dongxiang,除草,Weed
81,achidan,Noun,Dongxiang,驮法,Toting
82,achidan,Noun,Dongxiang,驮运的样子,Portage
83,achidan,Noun,Dongxiang,驮运的样子,Portage
84,achidan,Noun,Dongxiang,锄草的方法,Weeding
85,achidan,Noun,Dongxiang,锄草的方法,Weeding
86,achidan,Noun,Dongxiang,锄草的方法,Weeding
87,achidan,Noun,Dongxiang,锄草的样子,Weeding
88,achidan,Noun,Dongxiang,锄草的样子,Weeding
89,ada,Noun,Turkic,爸爸,Dad
90,ada,Noun,Turkic,爸爸,Dad
91,adatu,Adjective,Dongxiang,有父亲的,Paternal
92,adula,Verb,Dongxiang,放牧,Grazing
93,adulachin,Noun,Dongxiang,牧民,Herdsman
94,adulachin,Noun,Dongxiang,牧民,Herdsman
95,aduladan,Noun,Dongxiang,放牧的样子,Grazing
96,aduladan,Noun,Dongxiang,放牧的样子,Grazing
97,aduma,Noun,Dongxiang,汤瓶,Thermos
98,aduma,Noun,Dongxiang,汤瓶,Thermos
99,adumaqila,Verb,Dongxiang,提汤瓶,Decant
100,adumachi,Noun,Dongxiang,经营汤瓶的人,Soup-vendor
101,adumachi,Noun,Dongxiang,经营汤瓶的人,Soup-vendor
102,adumada,Verb,Dongxiang,用汤瓶打,Decant
103,adumatu,Adjective,Dongxiang,有汤瓶的,Soup-containing
104,aga,Noun,Dongxiang,哥哥,Brother
105,aga,Noun,Dongxiang,哥哥,Brother
106,aga,Noun,Dongxiang,兄长,Brother
107,aga,Noun,Dongxiang,兄长,Brother
108,agatu,Adjective,Dongxiang,有哥哥的,Brothered
109,aghili,Noun,Arabic,智慧,Wisdom
110,aghili,Noun,Arabic,智慧,Wisdom
111,aghili,Noun,Arabic,智慧,Wisdom
112,aghili,Noun,Arabic,才能,Talent
113,aghili,Noun,Arabic,才能,Talent
114,aghili,Noun,Arabic,智力,Intelligence
115,aghili,Noun,Arabic,智力,Intelligence
116,aghili,Noun,Arabic,智力,Intelligence
117,aghili,Noun,Arabic,才智,Intellect
118,aghili,Noun,Arabic,才智,Intellect
119,aghili,Noun,Arabic,才智,Intellect
120,aghili,Noun,Arabic,智能,Intelligence
121,aghili,Noun,Arabic,智能,Intelligence
122,aghilitu,Adjective,Arabic,有才智的,Intellectual
123,aghilitu,Adjective,Arabic,有心眼的,Cunning
124,agi,Verb,Dongxiang,取,Fetch
125,agi,Verb,Dongxiang,取,Fetch
126,agi,Verb,Dongxiang,拿,Take
127,agi,Verb,Dongxiang,买,Buy
128,agi,Verb,Dongxiang,买,Buy
129,agi,Verb,Dongxiang,娶,Marry
130,agi,Verb,Dongxiang,减去,Subtract
131,agi,Verb,Dongxiang,减去,Subtract
132,agi,Verb,Dongxiang,除去,Remove
133,agi,Verb,Dongxiang,除去,Remove
134,agi,Verb,Dongxiang,做完,Completed
135,agi,Verb,Dongxiang,做完,Completed
136,agi,Verb,Dongxiang,弄完,Finish
137,agi,Verb,Dongxiang,弄完,Finish
138,agi,Verb,Dongxiang,结束,End
139,agi,Verb,Dongxiang,生活,Live
140,agi,Verb,Dongxiang,生存,Survive
141,agidan,Noun,Dongxiang,买法,Purchase
142,agidan,Noun,Dongxiang,取法,Extraction
143,agidan,Noun,Dongxiang,减法,Subtraction
144,agidan,Noun,Dongxiang,活法,Lifestyle
145,agiegie,Noun,Dongxiang,脏东西,Filth
146,agiegie,Noun,Dongxiang,脏东西,Filth
147,agu,Noun,Dongxiang,瞳孔,Pupil
148,agu,Noun,Dongxiang,瞳孔,Pupil
149,agu,Noun,Dongxiang,瞳仁,Pupil
150,agu,Noun,Dongxiang,瞳仁,Pupil
151,agu,Noun,Dongxiang,姑母,Aunt
152,agu,Noun,Dongxiang,姑母,Aunt
153,agu,Noun,Dongxiang,姑母,Aunt
154,agu,Noun,Dongxiang,姑姑,Aunt
155,agu,Noun,Dongxiang,姑姑,Aunt
156,aguna,Noun,Dongxiang,姑娘,Girl
157,aguna,Noun,Dongxiang,姑娘,Girl
158,aguna,Noun,Dongxiang,姑娘,Girl
159,aguru,Noun,Dongxiang,瓢虫,Ladybug
160,aguru,Noun,Dongxiang,瓢虫,Ladybug
161,agutu,Adjective,Dongxiang,有姑母的,Maternal
162,agva,Noun,Dongxiang,兄,Brother
163,agva,Noun,Dongxiang,兄,Brother
164,agva,Noun,Dongxiang,兄,Brother
165,agva,Noun,Dongxiang,哥,Brother
166,agva,Noun,Dongxiang,哥,Brother
167,agva jiao,Noun,Dongxiang,弟兄,Brother
168,agva jiao,Noun,Dongxiang,弟兄,Brother
169,agvajiaotu,Adjective,Dongxiang,有弟兄的,Brothered
170,agvali,Noun,Arabic,亲属,Relative
171,agvali,Noun,Arabic,亲属,Relative
172,agvali,Noun,Arabic,亲属,Relative
173,agvatu,Adjective,Dongxiang,有哥哥的,Brothered
174,agvin,Noun,Dongxiang,村庄,Village
175,agvin,Noun,Dongxiang,村庄,Village
177,agvin,Noun,Dongxiang,村子,Village
178,agvin,Noun,Dongxiang,村子,Village
180,agvin,Noun,Dongxiang,自然村,Hamlet
181,agvin,Noun,Dongxiang,自然村,Hamlet
183,agvin kun,Noun,Dongxiang,同村人,Villager
184,agvin kun,Noun,Dongxiang,同村人,Villager
185,agvin kun,Noun,Dongxiang,同村人,Villager
186,agvin kun,Noun,Dongxiang,乡亲,Villager
187,agvin kun,Noun,Dongxiang,乡亲,Villager
188,agvintu,Adjective,Dongxiang,有村庄的,Village-containing
189,agvui,Adjective,Dongxiang,宽,Wide
190,agvui,Adjective,Dongxiang,宽,Wide
191,agvui,Adjective,Dongxiang,阔,Wide
192,agvui,Adjective,Dongxiang,阔,Wide
193,agvui,Adjective,Dongxiang,宽绰,Generous
194,agvui,Adjective,Dongxiang,宽绰,Generous
195,agvuida,Verb,Dongxiang,放宽,Relax
196,agvuida,Verb,Dongxiang,变宽,Widen
197,agvuida,Verb,Dongxiang,离远点,Outdistance
198,agvuida,Verb,Dongxiang,让开点,Move
199,agvuidagva,Verb,Dongxiang,加宽,Widen
200,agvuidagva,Verb,Dongxiang,放宽,Relax
201,agvuide,Adverb,Dongxiang,委婉地,Tactfully
202,agvuide,Adverb,Dongxiang,安慰地,Comfortingly
203,agvuide,Adverb,Dongxiang,宽心,Relieved
204,agvuigva,Verb,Dongxiang,感到宽心,Relieved
205,agvuigva,Verb,Dongxiang,心里释然,Relieved
206,agvwigvan,Verb,Dongxiang,走远点,Retreat
207,agvwigvan,Verb,Dongxiang,让开点,Move
208,agvwigvan,Adjective,Dongxiang,稍宽,Wider
209,agvwigvan,Adjective,Dongxiang,稍宽,Wider
210,agvwigvan,Adjective,Dongxiang,略宽,Slightly-wide
211,agvwigvan,Adjective,Dongxiang,略宽,Slightly-wide
212,agvuira,Verb,Dongxiang,变宽,Widen
213,agvuisa,Verb,Dongxiang,嫌宽,Dislike
214,agvuisa,Verb,Dongxiang,嫌宽,Dislike
215,agvuisa,Verb,Dongxiang,嫌宽余,Overcompensate
216,agvuishi,Verb,Dongxiang,放宽,Relax
217,agvuishi,Verb,Dongxiang,变宽,Widen
218,agvuishi,Verb,Dongxiang,离远点,Distance
219,agvuishi,Verb,Dongxiang,让开点,Move
220,ahhameghei,Adjective,Dongxiang,傻里傻气的,Goofy
221,ahhameghei,Adjective,Dongxiang,愚,Foolish
222,ahhameghei,Adjective,Dongxiang,愚,Foolish
223,ahhameghei,Adjective,Dongxiang,痴,Infatuated
224,ahhameghei,Adjective,Dongxiang,痴,Infatuated
225,ahhameghei,Noun,Dongxiang,傻里傻气的人,Simpleton
226,ahhameghei,Noun,Dongxiang,傻里傻气的人,Simpleton
227,ahhameghei,Noun,Dongxiang,傻里傻气的人,Simpleton
228,ahhameghei,Noun,Dongxiang,愚素的人,Simpleton
229,ahhameghei,Noun,Dongxiang,愚素的人,Simpleton
230,ahhameghei,Noun,Dongxiang,愚素的人,Simpleton
231,ahhameghei,Noun,Dongxiang,白痴,Idiot
232,ahhameghei,Noun,Dongxiang,白痴,Idiot
233,ahire,Noun,Arabic,后世,Posterity
234,ahire,Noun,Arabic,后世,Posterity
235,aholie,Verb,Dongxiang,溺爱,Overindulge
236,aholie,Verb,Dongxiang,溺爱,Overindulge
237,aholie,Verb,Dongxiang,娇惯,Pamper
238,aholie,Verb,Dongxiang,娇惯,Pamper
239,aholie,Verb,Dongxiang,惯养,Habituate
240,aholie,Verb,Dongxiang,惯养,Habituate
241,aholiedan,Noun,Dongxiang,溺爱法,Overindulgence
242,aholiedan,Noun,Dongxiang,溺爱法,Overindulgence
243,aholiedan,Noun,Dongxiang,娇惯的样儿,Pampering
244,ahu,Noun,Dongxiang,姑夫,Uncle-in-law
245,ahu,Noun,Dongxiang,姑夫,Uncle-in-law
246,ahun,Noun,Persian,阿訇,Imam
247,ahun,Noun,Persian,阿訇,Imam
248,ahuntu,Adjective,Persian,有阿訇的,Clerical
249,ahutu,Adjective,Dongxiang,有姑夫的,Married
250,ai gie,Verb,Dongxiang,发出“哎”的声音,Sigh
251,ai gie,Verb,Dongxiang,发出“哎”的声音,Sigh
252,aiyao gie,Verb,Dongxiang,发出“哎哟”的声音,Groan
253,ajia,Noun,Dongxiang,姐姐,Sister
254,ajia,Noun,Dongxiang,姐姐,Sister
255,ajiatu,Adjective,Dongxiang,有姐姐的,Sistered
256,ajiesi,Noun,Persian,清洁身体,Hygiene
257,ajiesigie,Verb,Persian,清洁,Clean
258,ajiesi giedan,Noun,Persian,清洁身体的样子,Hygiene
259,ajiesi giedan,Noun,Persian,清洁身体的方法,Hygiene
260,ajiesi giedan,Noun,Persian,清洁身体的方法,Hygiene
261,ajiesi giedan,Noun,Persian,清洁身体的方法,Hygiene
262,ajiesida,Verb,Persian,清洁,Clean
263,ajiu,Noun,Dongxiang,舅舅,Uncle
264,ajiu,Noun,Dongxiang,舅舅,Uncle
265,ajiula,Verb,Dongxiang,作为舅父,Uncle
266,ajiula,Verb,Dongxiang,作为舅父,Uncle
267,ajiula,Noun,Dongxiang,舅舅们,Uncles
268,ajiula,Noun,Dongxiang,舅舅们,Uncles
269,ajiutu,Adjective,Dongxiang,有舅父的,Maternal
270,akhi,Noun,Dongxiang,呼噜,Snore
271,akhi layi,Verb,Dongxiang,打呼噜,Snore
272,akhi layidan,Noun,Dongxiang,打呼噜的情形,Snoring
273,akhi layidan,Noun,Dongxiang,打呼噜的情形,Snoring
274,ako,Noun,Dongxiang,茶水,Tea
275,ako,Noun,Dongxiang,茶水,Tea
276,ako gie,Verb,Dongxiang,喝,Drink
277,akurei,Verb,Dongxiang,盘腿,Cross-legged
278,akureidan,Noun,Dongxiang,盘腿的样儿,Cross-legged
279,akureidan,Noun,Dongxiang,盘腿的样儿,Cross-legged
280,ala,Noun,Dongxiang,裆部,Crotch
281,ala,Noun,Dongxiang,裆部,Crotch
282,ala,Noun,Dongxiang,裤裆,Crotch
283,ala,Noun,Dongxiang,裤裆,Crotch
284,ala,Verb,Dongxiang,杀死,Kill
285,ala,Noun,Dongxiang,极,Pole
286,ala,Noun,Dongxiang,极,Pole
287,ala,Noun,Dongxiang,特,Special
288,alabalaji,Adverb,Dongxiang,"凑凑合合地,紧紧凑凑地",Haphazardly
289,alabalaji,Adverb,Dongxiang,紧打满算地,Frugally
290,aladan,Noun,Dongxiang,杀法,Spellkill
291,aladan,Noun,Dongxiang,杀的情形,Slaughter
292,alaku,Noun,Dongxiang,连档裤,Overalls
293,alaku,Noun,Dongxiang,连档裤,Overalls
294,alama,Noun,Dongxiang,窑洞,Yaodong
295,alama,Noun,Dongxiang,窑洞,Yaodong
297,alamatu,Adjective,Dongxiang,有窑洞的,Cave-dwelling
298,alandu,Verb,Dongxiang,相杀,Infight
299,alandu,Verb,Dongxiang,厮杀,Scuffle
300,alaneancha,Verb,Dongxiang,叉开腿,Straddle
301,alani bosun,Noun,Dongxiang,阴虱,Crabs
302,alani bosun,Noun,Dongxiang,阴虱,Crabs
303,alani usun,Noun,Dongxiang,阴毛,Pubic
304,alatu,Adjective,Dongxiang,有裤裆的,Crotched
305,alatu,Adjective,Dongxiang,连裆的,Crotch-connected
306,alawangu,Noun,Dongxiang,凶恶的人,Brute
307,alawangu,Noun,Dongxiang,凶恶的人,Brute
308,alawangu,Noun,Dongxiang,凶恶的人,Brute
309,alei,Verb,Dongxiang,瞪,Stare
310,alei fugva,Verb,Dongxiang,瞪人,Glare
311,alei fugva,Verb,Dongxiang,瞪人,Glare
312,aleidan,Noun,Dongxiang,瞪人的样子,Glare
313,aleidan,Noun,Dongxiang,瞪人的样子,Glare
314,alen,Noun,Arabic,宇宙,Universe
315,alen,Noun,Arabic,宇宙,Universe
316,alen,Noun,Arabic,世界,World
317,alen,Noun,Arabic,世界,World
319,alen gholu,Verb,Arabic,变得宽阔,Broaden
320,alen gholu,Verb,Arabic,轻松,Relax
321,ali,Pronoun,Dongxiang,哪个,Which
322,ali,Pronoun,Dongxiang,哪个,Which
323,ali,Pronoun,Dongxiang,哪个,Which
324,ali,Pronoun,Dongxiang,哪里,Where
326,ali beye,Pronoun,Dongxiang,哪儿,Where
328,ali beye,Pronoun,Dongxiang,哪边,Where
330,ali turu,Pronoun,Dongxiang,哪儿,Where
331,ali turu,Pronoun,Dongxiang,哪儿,Where
333,ali turu,Pronoun,Dongxiang,在哪里,Where
337,aliame,Noun,Arabic,样子,Appearance
338,aliame,Noun,Arabic,样子,Appearance
339,aliame,Noun,Arabic,迹象,Sign
340,aliame,Noun,Arabic,迹象,Sign
341,aliame,Noun,Arabic,迹象,Sign
342,aliame,Noun,Arabic,情形,Situation
343,aliame,Noun,Arabic,情形,Situation
344,aliame,Noun,Arabic,标志,Symbol
345,aliame,Noun,Arabic,标志,Symbol
346,aliame,Noun,Arabic,标记,Marker
347,aliame,Noun,Arabic,标记,Marker
348,alide,Pronoun,Dongxiang,哪里,Where
350,alide,Pronoun,Dongxiang,哪儿,Where
351,alide,Pronoun,Dongxiang,哪儿,Where
353,aligvan,Pronoun,Dongxiang,哪个地方,Whereabouts
355,aligvan,Pronoun,Dongxiang,哪个时候,When
356,aligvan,Pronoun,Dongxiang,哪个时候,When
357,aligvanbogvon,Pronoun,Dongxiang,无论哪个,Whichever
358,aligvanbogvon,Pronoun,Dongxiang,无论哪个,Whichever
359,aligvanbogvon,Pronoun,Dongxiang,不论哪个时候,Whenever
360,alima,Noun,Dongxiang,果子,Fruit
361,alima,Noun,Dongxiang,果子,Fruit
362,alima,Noun,Dongxiang,果子,Fruit
363,alima,Noun,Dongxiang,水果,Fruit
364,alima,Noun,Dongxiang,水果,Fruit
365,alima,Noun,Dongxiang,水果,Fruit
366,alima,Noun,Dongxiang,梨,Pear
367,alima,Noun,Dongxiang,梨,Pear
368,alima,Noun,Dongxiang,梨,Pear
369,alima,Noun,Dongxiang,苹果,Apple
370,alima,Noun,Dongxiang,苹果,Apple
371,alima,Noun,Dongxiang,苹果,Apple
372,alima,Pronoun,Dongxiang,无论哪个,Whichever
373,alima,Pronoun,Dongxiang,无论哪个,Whichever
374,alima,Pronoun,Dongxiang,哪个都,Any
375,alima arasun,Noun,Dongxiang,果皮,Peel
376,alima arasun,Noun,Dongxiang,果皮,Peel
377,alima bazi,Noun,Chinese,果蒂,Peduncle
378,alima bazi,Noun,Chinese,果蒂,Peduncle
379,alima fure,Noun,Dongxiang,果核,Pit
380,alima fure,Noun,Dongxiang,果核,Pit
381,alima fure,Noun,Dongxiang,果核,Pit
382,alima huhu,Noun,Chinese,果核,Pit
383,alima huhu,Noun,Chinese,果核,Pit
384,alima khawa,Noun,Dongxiang,果脐,Umbilicus
385,alima khawa,Noun,Dongxiang,果脐,Umbilicus
386,alima usu,Noun,Dongxiang,果汁,Juice
387,alima usu,Noun,Dongxiang,果汁,Juice
388,alimachi,Noun,Dongxiang,爱吃果子的人,Frugivore
389,alimachi,Noun,Dongxiang,爱吃果子的人,Frugivore
390,alimachi,Noun,Dongxiang,卖果子的人,Fruit-seller
391,alimachi,Noun,Dongxiang,卖果子的人,Fruit-seller
392,alimada,Verb,Dongxiang,吃果子,Eatfruit
393,alimatu,Adjective,Dongxiang,有果子的,Fruited
394,alimatu,Noun,Dongxiang,水果之乡,Fruitland
395,alimatu,Noun,Dongxiang,水果之乡,Fruitland
396,alimen,Pronoun,Dongxiang,哪儿,Where
398,alimen,Pronoun,Dongxiang,哪边,Where
400,alin,Noun,Arabic,知识渊博,Erudite
401,alin,Noun,Arabic,知识渊博,Erudite
402,aliudu,Pronoun,Dongxiang,哪一天,Whichday
403,aliudu,Pronoun,Dongxiang,哪一天,Whichday
404,alizegven,Pronoun,Dongxiang,哪些,Which
405,alizegven,Pronoun,Dongxiang,哪些,Which
406,alizegven,Pronoun,Dongxiang,哪些,Which
407,alizegvende,Pronoun,Dongxiang,哪儿,Where
408,alizegvende,Pronoun,Dongxiang,哪儿,Where
410,alizegvende,Pronoun,Dongxiang,哪里,Where
412,alizegvende,Pronoun,Dongxiang,何处,Where
414,ama,Noun,Dongxiang,果子,Fruit
415,ama,Noun,Dongxiang,果子,Fruit
416,amala,Verb,Dongxiang,口衔,Hold
417,amala,Verb,Dongxiang,含着,Sucking
418,amala,Verb,Dongxiang,央求,Beg
419,amaladan,Noun,Dongxiang,衔在口中的样子,Grip
420,amaladan,Noun,Dongxiang,恳求的情形,Pleading
421,aman,Noun,Dongxiang,嘴,Mouth
422,aman,Noun,Dongxiang,嘴,Mouth
423,aman,Noun,Dongxiang,嘴,Mouth
424,aman,Noun,Dongxiang,口口子,Mouthpiece
425,aman,Noun,Dongxiang,嘴儿,Mouth
426,aman,Noun,Dongxiang,嘴儿,Mouth
427,aman,Noun,Dongxiang,嘴儿,Mouth
428,aman,Noun,Dongxiang,锋利的一面,Edge
429,aman,Noun,Dongxiang,锋利的一面,Edge
430,aman,Noun,Dongxiang,刃子,Blade
431,aman,Noun,Dongxiang,牲畜的年龄,LivestockAge
432,aman,Noun,Dongxiang,牲畜的年龄,LivestockAge
433,aman,Noun,Dongxiang,牲畜的年龄,LivestockAge
434,aman,Numeral,Dongxiang,一句,Single
435,aman,Numeral,Dongxiang,一口,Mouthful
436,aman anda,Verb,Dongxiang,失言,Misspeak
437,aman anghei,Verb,Dongxiang,张口,Open
438,aman anghei,Verb,Dongxiang,央求,Beg
439,aman bolu,Verb,Dongxiang,口腔极为疼痛,Excruciating
440,aman chighei,Verb,Dongxiang,插嘴,Interrupt
441,aman chighei,Verb,Dongxiang,多嘴,Gossip
442,aman chighei,Verb,Dongxiang,插话,Interject
443,aman dayi,Verb,Chinese,开始进食,Feast
444,aman furun,Noun,Dongxiang,嘴唇,Lips
445,aman furun,Noun,Dongxiang,嘴唇,Lips
446,aman furun,Noun,Dongxiang,嘴唇,Lips
447,aman ghudandu,Verb,Dongxiang,说出口,Utter
448,aman ghudandu,Verb,Dongxiang,说漏嘴,Slip
449,aman ghudandu,Verb,Dongxiang,失言,Misspeak
450,aman ghudandu,Verb,Dongxiang,失信,Default
451,aman ghudandu,Verb,Dongxiang,失信,Default
452,aman gozi,Noun,Chinese,嘴角,Corner of mouth
453,aman gozi,Noun,Chinese,嘴角,Corner of mouth
454,aman gozi,Noun,Chinese,嘴角,Corner of mouth
455,aman hunla,Verb,Chinese,吃零食,Snacking
456,aman hunlawuni,Noun,Chinese,零食,Snacks
457,aman hunlawuni,Noun,Chinese,零食,Snacks
458,aman jila,Verb,Chinese,忌口,Abstain
459,aman jila,Verb,Chinese,忌口,Abstain
460,aman khidun,Adjective,Dongxiang,嘴硬,Stubborn
461,aman khidun,Adjective,Dongxiang,嘴硬,Stubborn
462,aman mienta,Adjective,Dongxiang,嘴甜,Sweet-tongued
463,aman mienta,Adjective,Dongxiang,嘴甜,Sweet-tongued
464,aman mientaragva,Verb,Dongxiang,甜言蜜语地,Sweet-talk
465,aman mientaragva,Verb,Dongxiang,拣好的,Select
466,aman minji,Verb,Chinese,闭口,Seal
467,aman minji,Verb,Chinese,抿嘴,Purse
468,aman olon,Adjective,Dongxiang,多嘴多舌,Gossipy
469,aman pudu,Adjective,Dongxiang,嘴牢,Tight-lipped
470,aman pudu,Adjective,Dongxiang,嘴牢,Tight-lipped
471,aman shonji,Verb,Chinese,漱口,Gargle
472,aman sula,Adjective,Dongxiang,随便乱说,Gibberish
473,aman tai,Verb,Dongxiang,开口,Open
474,aman uzhu jiere,Adverb,Dongxiang,在嘴尖上,Lip-smackingly
476,aman uzhu jiere,Noun,Dongxiang,说话尖声尖气,Shrillness
477,amanzhao,Verb,Dongxiang,在不该说话的时候说话,Overstep
478,amanzholien,Adjective,Dongxiang,嘴软,Soft-spoken
479,amanzholien,Adjective,Dongxiang,嘴软,Soft-spoken
480,amanzholien,Adjective,Dongxiang,嘴乖,Articulate
481,amancha,Noun,Dongxiang,嘴馋的,Glutton
482,amancha,Noun,Dongxiang,多嘴多舌之人,Gossipmonger
483,amancha,Noun,Dongxiang,多嘴多舌之人,Gossipmonger
484,amanchi,Noun,Dongxiang,多嘴多舌之人,Gossipmonger
485,amanchi,Noun,Dongxiang,多嘴多舌之人,Gossipmonger
486,amande echi,Verb,Dongxiang,年老,Age
487,amande ezhen bolu,Verb,Dongxiang,说话算数,Commit
488,amande ezhen bolu da,Verb,Dongxiang,说话不算数,Renege
489,amande ku da,Verb,Dongxiang,说话不算数,Reneg
490,amandu,Verb,Dongxiang,摔跤,Wrestle
491,amandudan,Noun,Dongxiang,摔跤法,Wrestling
492,amandudan,Noun,Dongxiang,摔跤法,Wrestling
493,amani,Adjective,Dongxiang,简单的,Simple
494,amani,Adjective,Dongxiang,简单的,Simple
495,amanisa,Verb,Dongxiang,嫌简单,Underestimate
496,amanisa,Verb,Dongxiang,嫌简单,Underestimate
497,amanisa,Verb,Dongxiang,嫌轻松,Underestimate
498,amanisa,Verb,Dongxiang,嫌轻松,Underestimate
499,amanisa,Verb,Dongxiang,过于方便,Over-accommodate
500,amasa,Noun,Dongxiang,口子,Opening
502,ameli,Noun,Arabic,伊斯兰教功修,Islamology
503,ameli,Noun,Arabic,伊斯兰教功修,Islamology
504,ameli,Noun,Arabic,工作,Job
505,ameli,Noun,Arabic,工作,Job
506,ameli,Noun,Arabic,事业,Career
507,ameli,Noun,Arabic,事业,Career
508,ameli ganji,Verb,"Arabic, Chinese",做伊斯兰教功课,Pray
509,ameli ganji,Verb,"Arabic, Chinese",做伊斯兰教功课,Pray
510,amelichi,Noun,Arabic,经常做伊斯兰教功课的人,Devout
511,amelichi,Noun,Arabic,经常做伊斯兰教功课的人,Devout
512,amelitu,Adjective,Arabic,有伊斯兰教功修的,Islamic-practicing
513,amichou,Noun,Dongxiang,麻雀,Sparrow
514,amichou,Noun,Dongxiang,麻雀,Sparrow
515,amichou,Noun,Dongxiang,麻雀,Sparrow
516,amichoutu,Adjective,Dongxiang,有麻雀的,Sparrowed
517,amin,Noun,Dongxiang,生命,Life
518,amin,Noun,Dongxiang,生命,Life
519,amin,Noun,Dongxiang,性命,Life
520,amin,Noun,Dongxiang,性命,Life
521,amin,Noun,Dongxiang,命运,Fate
522,amin,Noun,Dongxiang,命运,Fate
523,amin,Noun,Dongxiang,运气,Luck
524,amin,Noun,Dongxiang,运气,Luck
525,amin bara,Verb,Dongxiang,死亡,Die
526,amin bara,Verb,Dongxiang,死亡,Die
527,amin barei,Verb,Dongxiang,成活,Survive
