Dongxiang,Chinese
bi shi niezhegan kewos wo.,我是独生子。
adani shi keshuezhia wo.,他爸爸是科学家。
anani shi uranchi wo.,她妈妈是艺术家。
chini giede pusezila kun wainu?.,你家里还有其他人吗？
namade yeye zhi nainai waine.,我有爷爷和奶奶。
terela gielie go?zuo hamurazhi giede waine.,他们都退休在家。
chi yan giezhi wo?.,你在做什么？
bi shi nie shieshe?wo.,我是一名大学生。
chi budan izhie wi ye?.,你吃饭了吗？
"u wo,bi budan wiye izhiewo.",没有，我还没吃饭呢。
"olozhi wo,bi izhin izhiewo.",对，我已经吃过了。
chi yaoshe izhiesen wo?.,你吃过早餐了吗？
he yaoshe yan izhiewo?.,他早餐吃的什么？
gaga mianbao izhiewo.,哥哥吃的面包。
geuzhigan ochin zhiao nie beizi fugie naizi ochiwo.,小妹妹喝了一杯牛奶。
ada yaoshede yiban gielie kapei ochine.,爸爸早餐一般都喝咖啡。
he kapeini ochiku duran wi.,他不喜欢喝咖啡。
endegei izhiesen wo?.,吃过鸡蛋了吗？
helani giede yaoshede mitan ochine.,他们家里早餐喝稀粥。
bi dakon haran gua zhiende udukunwo.,我大约在十二点吃午饭。
tani udukunde yiban yan izhiene?.,你们午饭一般吃什么？
udukunde zhingchang lashiga izhiewo.,中午经常吃面条。
mini ochin zhiao udukunde izhieku chogon miyane.,我妹妹午饭吃的很少。
olun kun udu dunda gudun budan izhiene.,许多人中午吃快餐。
heifan zhizhiende izhiene?.,晚饭几点钟吃？
uzhieshilien liuzhiende heifanda.,下午六点左右吃晚饭。
heifande budan korusen cai olo?izhiene.,晚餐吃米饭炒菜的时候多。
anani korusen cai yagani andatusa.,妈妈做菜特别好吃。
gaga chechan gadana budan izhiene.,哥哥经常在外面吃饭。
mini baba pizhiu ochiku duran wo.,我叔叔爱喝啤酒。
he darasuda duran wi.,他一 点也不喜欢喝酒。
ene chadade bodan gie wainu?.,这附近有餐厅吗？
mo duimianni bodan gie waine.,马路对面就有餐厅。
ende shi bodan gie waine.,这里就是餐厅。
nie hu cha ani.,请给我上一壶茶水。
bi nie iga fugie miga lashiga duralana.,我想点一碗牛肉面。
ene bodan gieni izhie andatusa.,这家餐厅的饭菜真好吃。
ende shi shieshiao wo?.,这里是学校吗？
"oluzhi wo,ene shi nie ga shieshiao wo.",是的，这是一所小学。
he shi nie hudu minshenni dunda shieshiao wo.,那是一所很有名的中学。
dunda shieshiaoni kanzide fugie shieshiao waine.,中学的旁边是所大学。
he shi nie togani laoshi wo.,他是 一 位数学老师。
tereni kochen kieliekuni hudu gao wo ne.,他的课讲得很好。
shieshen?la tereni kochen kieliekuni hudu sonosuku duran waine.,学生们愿意听他讲的课。
chini agu puse laoshi wo?.,你姑姑也是老师吗？
"oluzhi wo,he puse nie laoshi wo.",是的，她也是一位老师。
he shi ene ga shieshiaoni laoshi wo?.,她是该小学的老师吗？
"pushi wo,he shi dunda shieshiaoni laoshi wo.",不是，她是中学老师。
terede dakuan niuduni kochen waine.,她几乎每天都有课。
he ya?kochen sorugana wo?.,她教什么课？
kielien kochen sorugana.,教语言课。
yan kielien kochen sorugana?.,教什么语言？
tere shi kideini kielien kochen sorugana.,她教的是汉语言课。
chini aguni dunda shieshiao hala wo?.,你姑姑的中学在哪里？
ene ga shieshiaoni kanzide waine.,就在该小学旁边。
shieshiaode tushuguan wainu?.,学校里有图书馆吗？
"shieshiaode tushuguan waine,puse yielanshi waine.",学校里不仅有图书馆，还有阅览室。
ene shi shieshiaoni yendo?cha?wo.,这里是学校的运动场。
"aiya,ene shieshiaoni yendo?cha?fugie wo.",啊呀，学校的运动场可真大呀！
shieshiao nie honni liuye ende yundo?hui niene.,学校每年六月都在这里开运动会。
shiashen?la duranse shigeni tiyini bisaide orone.,学生们自愿参加各种体育比赛。
ene shieshiaode puse edeshi bango?lou mu zhiaoshielou waine.,学校还有现代化的办公楼和教学楼。
endeduku shieshen?la ashigan shiacha gie suruna.,这里的学生们都努力学习。
chi go?zuo giezhewo?.,你工作了吗？
bi go?zuo giewi bi shi yanzhiushe?wo.,我还没有工作，我是在读研究生。
bi magashi hon go?zuode orone giezhi sumulazhi wo.,我打算明年参加工作。
chini gaga kala go?zuo giezhewo?.,你哥哥在哪儿工作？
zhenfubumende go?zuo giezhene.,在政府部门工作。
he nie gao go?zuo oluwo.,他找到了一份好工作。
chini zhiao giezhe go?zuo oluwo?.,你弟弟是什么时候参加工作的？
he udani hon go?zuo oluwo.,他去年参加了工作。
chini gaga nie uduni zhizhiende go?zuole echine?.,你哥哥每天早上几点上班？
he nie uduni nie eqie bazhien bande gonzuole echine.,他每天早上八点半上班。
chi nie uduni naiman cha gonzuo giezhiwo?.,你每天都工作八个小时吗？
"oluzhi wo,bizhien nie uduni naiman cha go?zuo giene.",是的，我们每天工作八个小时。
chini azhiu shi ya?giezhewo?.,你舅舅是做什么的？
he shi nie chiyiezhia.,他是一位企业家。
chini inie?shi shianshen wo?.,你姨妈是医生吗？
he shi nie shinzhen go?zuo gieku kun wo.,她是一位行政工作人员。
hela go?zuo giede chirge kaiyiwo?.,他们上班开车吗？
echiya chirge kaiyiwo.,有的时候开车。
"ma, go?zhiaochezi mu ditiede saokuni olun.",但是，乘公交车或地铁的时候多 一 些。
tani gonzuo gieku chouzhan yan wo?.,你们的工作条件如何？
bizhienni go?zuo gieku chouzhan hudu gao no wo.,我们的工作环境很好。
chi uilieni gao gie.,希望你好好工作。
bi kauchu shiachagie go?zuo giene.,我一定会努力工作。
ede zhizhien oluwo?.,现在几点了？
ede shi udu melie zhiuzhien oluwo.,现在是上午九点。
tani udu kuina zhizhiende go?zuo giene?.,你们下午几点上班？
udu kuina lia?zhienbande go?zuo giene.,下午两点半上班。
heifan zhizhiende yiyou wo?.,晚餐预约在几点？
uzhieshilien liu zhizhiende yiyou wo.,预约在晚六点。
ene hoche zhizhiende yawune?.,这趟火车几点开？
udu melie haran cha haran tabun fe?de yawune.,上午十点一刻开。
ene shi zhizhienni zhienyin piao ya?.,这是几点的电影票呀？
shinchitian udu kuina guran cha koruntawun fe?ni zhienyin piao wo.,星期天下午三点二十五分的电影票。
chi shieshiao se giede kurukude giedugan cha kereglene?.,你从学校到家需要多长时间？
zishingchegala dakumu korunfe?kereglene.,骑自行车需要二十分钟左右。
ende chuzuche wainu?.,这里有出租车吗？
namiyi hochezhiande kugowo.,请把我送到火车站。
ene go?zhiaoche zhicha?de echiwo?.,该公交车到机场吗？
zhicha?de echise zhicha?dabani sao.,去机场请你乘坐机场大巴。
enuduku chienchi matuga?wo?.,今天天气怎样？
enudu shi arulusan udu wo.,今天是晴天。
"asimanzhiere olien waine,uzhese magashi pukudu udu olune.",天上有云了，明天可能是阴天。
"gadane kai feiliene,uzhese zhasu?baune.",外面在刮风，可能要下雪。
ende uruzhu nie fugie gura baowo.,这里前天下了一场大雨。
udu nie udu se nie ude kuichiege.,天一天比一天变冷了。
kuinani kuichiencha kuichie no wo.,北方的冬天很冷。
namianni kaluncha kalun no wo.,南方的夏天很热。
endeni chunchian unchu no wo.,这里的春天很温暖。
chiuchan beizhingni hulan lachen saigan no wo.,秋天北京的红叶很漂亮。
wei gao wo nu! ×× nieretu kun wainu?.,喂！你好！请问××先生在吗？
chi shi ×× nieretu ochidei kun wo?.,你是××女士吗？
×× neretu ochidei kunyi nadadu oluzhi ani.,请给找一下××小姐。
chi nie bai.,请你等一会儿。
"he wai wi ne,gadanetu kirizhi wo.",她不在，出门了。
chi kielieku kielien wainu?.,您要留言吗？
bi hede chimade zhienhua nie erege giezhi kielieye.,我转告她给您回电话。
"bi shi ××,chi kien wo?.",我是××，您是哪位？
bi shi chini tu?shie ×× wo.,我是你的同学××。
bi magashi pei hedu egeiye.,我明天再给他打。
chi gozhieluku doran wainu?.,你喜欢运动吗？
bi holuku hudu duran waine.,我很喜欢跑步。
he nie uduni lanchiu nadune.,他每天都打篮球。
bi daori sonosuku duran waine.,我爱听音乐。
chi zhienyin uzheku duran wainu?.,你爱看电影吗？
ana nie dolon uzhude shi uzhene.,妈妈每周末都去看剧。
ada huazhanzi huayi duran waine.,爸爸很喜欢画画。
ochin zhiao lishi?don deulaku duran waine.,妹妹爱唱流行歌曲。
mini yeye nie uduni hankuna.,我爷爷每天都散步。
nainai giede chizhe tariku duran wo.,奶奶喜欢在家种花。
heni yinia?bodan giekude urima wo ne.,她姨妈对做饭很有兴趣。
"hari, mini azhiu chirge kaiyini hudu duran wo.",可是，我舅舅特别爱开车。
chi zhiehung giewu?.,你结婚了吗？
bi zhiehu?dau ui ye.,我还没有结婚。
chi naizhila wo?.,你谈恋爱了吗？
bi yizhin zhanlian waine.,我已经有女朋友了。
hede kewon naizhen wainu?.,她有男朋友了吗？
he puse naizhila wi ne.,她还没谈恋爱呢。
bi shi niezhegan kun.,我是独身。
bi izhin zhiehu?giewo.,我已经结婚了。
tande gie wainu? 你们房子有吗.,你们有房子吗？
bizhiende orung gie u wo.,我们没有自己的房子。
ta kalani saozhi wo?.,你们住哪里？
bizhien ada ana la hantu saone.,我们和父母一起住。
terala shini gie agiwo.,他们买了新房子。
ta leude saozhi wo?.,你们是住楼房吗？
"pushi wo,bizhien pin fa?de saone.",不是，我们住平房。
tande kewos wainu?.,你们有孩子吗？
bizhiende kewos u wo.,我们还没有孩子。
terela magashi hon kewos oluku giezhi sumulazhi wo.,他们打算明年要孩子。
mini bieri bositu oluzhi yizhin ghuran sara oluwo.,我爱人怀孕已三个月了。
mini egechi nie kewo?oluwo.,我姐姐生了一个男孩。
bizhiende gua kewos waine.,我们有两个孩子。
namade nie okin waine.,我有 一个女孩。
gagade nie kewos puse nie okin waine.,哥哥有一个男孩和一个女孩。
terela gua shi gua olusen shua?shuan.,他们两个是双胞胎。
chini bierei giede wainu?.,你妻子在家吗？
he kewos kugole echiwo.,她送孩子去了。
he kewosne haihu?kewas goro?de kugowo.,她把孩子送到了幼儿园。
tani giede ochiao kun wainu?.,你们家有老人吗？
giede yeye zhi nainai waine.,家里还有爷爷和奶奶。
bizhien shi nie futautu gie wo.,我们是一个幸福的家庭。
ene zhouweide iyan wainu?.,这一带有医院吗？
meilie he chigan leu shi iyan wo.,前面那栋白楼就是医院。
iyande echikuni ya?gie yawune?.,到医院怎么走？
ene fugie mo dagazhu yizhi yawuwo.,顺着这条大道一直走。
kuina gurada hulan nogon de?de ochiradase borunde yawu.,然后，遇到第三个红绿灯右拐。
"chingiedase, borunde yawudase kurune?.",那么，右拐就会到了吗？
"borunde yawusen kuina, puse sibai mi yawune.",右拐后，还要往里走四百米。
ende shi iyan wo?.,这里是医院吗？
"oluzhi wo, ende shi iyan wo.",是的，这里是医院。
gien uzheku gazha kala wo?.,门诊部在哪里？
gien uzheku gazha iyanni fugie ta?ni dunde waine.,门诊部在医院大堂左侧。
bi hao guayi giezhi sumulazhiwo.,我想挂个号。
chi yan hao guayine?.,你挂什么号？
bi tudoro gien uzheku hao guayi giezhi sumulazhiwo.,我想挂内科号。
bi zhuanzhiahao guayini giezhi sumulazhiwo.,我想挂专家号。
chi guayisen haoyi ende tai.,请你把挂的号放在这里。
gien kun ma?haoni dagazhi paiduigiezhu gien uzhene.,患者都按号排队看病。
chi kalani gao ui wo?.,你怎么不舒服？
bi idauzi kuruzhu chiaorun otune.,我感冒头痛。
chi tiewenbiaoni suge doura tai.,请你把体温表放在腋下。
chi chieshi nie tuliene.,你确实有点发烧。
chi idauzi kuruzhu giedugan udu oluwo?.,你感冒几天了？
gua udu oluwo.,有两天了。
yan ye izhiesen wo?.,吃过什么药吗？
bi yan ye izhiesen wi.,我没吃任何药。
"chingiedase, chimade nie ganmao ye ogiye.",那么，给你开点退烧药吧。
"pusezi, karizhu puzhalusen usu ulan ochizhu, gao hamura.",另外，回去多喝些白开水，好好休息。
ende shi ye uguku gazha wo.,这里是取药口。
ene shi kalun daruku ye wo.,这是退烧药。
"ye nie udu guran fa izhiezhu, fani gua izhiene.",退烧药一天吃三次，每次吃两片。
"ye gao bari, saigala.",请你把药拿好，再见！
bi nie fa gadane echine.,我要出去一趟。
kala echine?.,要去哪里？
shanzhiande echine.,去商场。
chi ali shanzhiande echine?.,你去哪个商场？
baihuo shanzhiande echine.,去百货商场。
chi ya?agine?.,你要买什么？
bi izhieku ozhian agine.,我要买吃的东西。
tere puse izhieku ozhian agi wo?.,她也要买吃的东西吗？
pushi wo.mini ochin zhiao kalun chade musiku zhien agine.,不是，我妹妹要买夏天穿的衣服。
baihuo shanzhiande ya?ni waine.,百货商场里什么都有。
hoyichen chi gao !.,售货员你好！
chi yap agine?.,你要买什么吗？
chi nadade he nie zhien ogi.,请你给我拿那件衣服。
ene nie zhien giedugan bar wo?.,这件上衣多少钱？
ene zhien zhiaqian oluwe.,这件衣服的价格还算合理。
ene tudoro musiku zhian saiganwo?.,这套内衣好看吗？
bi hudu saigan giezhi sanana.,我觉得很好看。
bi ene zhianni musise neirazhi wo?.,我穿这衣服合身吗？
chi musise neirazhi wi.,你穿不太合身。
ene medun pusezila ungie wainu?.,这条裤子还有其他颜色的吗？
"u wo,niezhen kara ungie waine.",没有，只有黑颜色。
bi nie arasun hai agiye giezhi sumulazhiwo.,我想买一双皮鞋。
kalani ozhian agikude zharuku ga tungu chirge waine?.,哪里有购物用的小推车？
shanzhianni oroku gazhade waine.,就在商场的入口处。
ana fuge naizi mu endegei agiwo.,妈妈买了牛奶和鸡蛋。
ada yan agizhi wi.,爸爸什么都没买。
hoyiche?bar ogiku gazha kala wainu?.,售货员，付款台在哪里？
enezegen ozhian giedugan bar?.,这些货物多少钱？
quabu shi ×× kuai.,全部是××元。
chi namade nie baozhi ogi.,请你给我打包这些货物。
ta puse ire.,欢迎您再来。
ende shi beizhing zhichang .,这里是北京首都国际机场。
zhichang tudoro kun hudu olon.,机场里人很多。
zhicha?ni yawudan asaku gazha kala wainu?.,机场问询处在哪里？
zhichan?ni fugie ta?oroku gazhani waine.,在机场大堂入口处。
ende shi yawudan asaku gazha wo?.,这里是问询处吧？
"oluzhi wo, ende shi yawudan asaku gazha wo.",是的，这里就是问询处。
chi yang yawudan wainu?.,你有什么事吗？
bi zhi piau agine giezhi sumulazhiwo.,我想买机票。
chi kala echino?.,你要去哪里？
bi sha?haidu echine.,我去上海。
sha?haidu echiku zhi piau C kouni echizhu agine.,去上海的机票要到C口去买。
C kou kala waine?.,出口C在哪里？
D kouni borunde waine.,在 D 口右侧。
chi zhi piau aginu?.,你要买机票吗？
"oluzhi wo, bi nie sha?haidu echiku zhi piao agine giezhi snmulazhiwo.",是的，我要想买一张去上海的机票。
"chingiedase,chi ende paidui gie.",那么，你就在这里排队吧。
chini shenfenzhe?ani.,请你将身份证给我。
ene shi chini zhi piau wo.,这是你的机票。
anzhienkou kala waine?.,安检口在哪里？
"anzhienkou sudoshi gua bai mi yawuzhu,kuina dun ochiradase kurune.",去安检口要往里走两百米，然后左拐就到了。
chi boufu gao biri.,请你把行李拿好。
sha?haidu echiku feizhide oroku uizhian kala wainu?.,去上海的登机口在哪里？
A uizhianse feizhide orona.,请从A 口 登 机 。
ya? cha feizhide orone?.,什么时候登机？
ban cha kuina feizhide orona.,半个小时以后登机。
feizhide orokude nie ga chibau uguzhi olune.,登机时只能带一件小提包。
banyiku boufu gundu korun go?zhinse olodo olu wi.,托运行李重量不能超过二十公斤。
chini saoku oron shi 18 pai A oron wo.,你的座位是18排 A 座 。
chi orung saoku oronde gao sao.,请你在自己的座位上坐好。
chi anchiendai gao huiya.,请你系好安全带。
feizhi musiwo beizhing saigala!.,飞机起飞了，北京，再见！
ende shi zhian wo?.,这是宾馆吗？
"zho,chi zhiande sao wo?.",对，你要住宾馆吗？
"oluzhi wo,bi nie nie kunni gie kereglene.",是的，我要一个单人间。
bi beye uagaku gietu zhochenni gie kereglene.,我要带洗澡间的客房。
nie udu gonodase giedugan bar?.,住宿一天多少钱？
chi giedugan udu saokuwo?.,你要住几天？
nie dolon niudu saone.,住一个星期。
chi haran se?de saose oluwo?.,你住十层可以吗？
bi tawun se?se deuratu zhochenni giede saoye giezhi snmulazhiwo.,我想住五层以下的客房。
de?zhikani qanzhi pizhi.,请填写登记卡。
ene shi chini uizhianni ka wo.,这是你的房卡。
zhianni bodan izhieku gazha ali se?de waine?.,旅馆用餐处在几层？
nie se?puse gua se?de ashigan bodan izhieku gazha waine.,一层和二层都有餐厅。
boufu banzhi bariku kun waine wo?.,有人帮助拿行李吗？
fuwuyan chimade boufu barizhi ogine.,服务员帮你拿行李。
chi mini boufuyi saoku giede kugo.,请你把我的行李拿到房间。
saoku giede kalun usu wainu?.,房间里有热水吗？
saoku giede korun zhieron cha kalun usu gunzhiwo.,房间里24小时供应热水。
"pusezi,puse dienshizhi 、dienbi?sha?waine.",另外，还有电视机、电冰箱。
zhienne uagazhi oginu?.,有洗衣服务吗？
"waine,bizhienni ende zhienne uagaku zhiachian hudu talane.",有，我们这里洗衣价格很合理。
ene shi giedugan hoduntu zhian wo?.,这是几星级宾馆？
tawun hoduntu zhian wo.,是五星级宾馆。
cha?tuzhienhua egezhi oluwo?.,可以打长途电话吗？
nie se?ni ochiraku gazha yazhin zhiaozhisen kuina sai cha?tuzhienhua egezhi olune.,到一楼接待处交完押金オ可以打长途。
chi magashi echiemaga liuzhiende namini uruzhi shieriga.,请你明早六点叫醒我。
chuzn bosi arunzhi ogi.,请换床单。
gie nie arun giezhi ogi.,请打扫 一 下房间。
giedun chase melie tuifan giezhi olune.,最晚几点退房？
"bi gieni tuine, giedugan bar wo?.",我要退房，多少钱？
chi nie sheuzhi pizhizhi ogi.,请你给开个收据。
ene zhianni fuwu zhoni gao.,这宾馆的服务真好。
chi lishinde doran wo?.,你喜欢旅游吗？
bi lishinde hudu doranwo.,我很喜欢旅游。
bizhieni gieni kun ashigan lishinde doran wo.,我们家里人都喜欢旅游。
bi meilase ada anala hantu lishinne.,我从小就和父母一起旅游。
bizhien olon neretu gazha uzhesen.,我们去看过很多名胜古迹。
kunla lishinse olon zhishi suruna.,人们通过旅游学到很多知识。
chi fudu chenchiande echisen wo?.,你去过长城吗？
gua fa echisen.,去过两次。
tan pusezi puse kala echisenwo?.,你们还去过哪里？
puse hainande echisen.,还去过海南。
terela kuinani caoyende echisen.,他们去过北方的草原。
zho?guode lishinni gazha olon waine.,在中国旅游的地方有很多。
chi shi lishinnini iresen nu?.,你是来旅游的吗？
"oluzhi wo,bi shi nie lishinde durantu kun wo.",是的，我是一名旅游爱好者。
lishinni uizhianpiao agikude giedugan bar?.,旅游门票多少钱？
nie kun haran naiman kuai.,每人十八元钱。
tudoro lishin gungu?che wainu?.,里面有旅游巴士吗？
lishinde ashigan lishinche zhiere saone.,旅游时都要乘坐旅游巴士。
ta mlachen hereglenu?.,你们需要导游吗？
nie molache?hereglene.,需要一名导游。
molachen yi?yu kieliezhi shidanu?.,导游会说英语吗？
tereni yinyu gao waine.,她的英语很好。
chi dawa ende iresen wo?.,你过去来过这里吗？
u wi. nie fu iresen wi.,没有， 一次都没有来过。
bi nieda ende irene.,我第 一 次来这里。
endeni ula usu hudu saigan.,这里的山水真美。
zhiao ende ezegan fenzhin shia?pian zhauyiwo.,弟弟在这里拍了许多风景照。
bi zhoni imutu saiganni ula usu uzhesen wi.,我真没有见过如此美丽的山水。
"bi hai gizhade echiku duran wo,puse caoyen uzheku duran wo.",我喜欢海边，也喜欢草原。
