Dongxiang,Chinese
Waine shi lienxi nie gie,有的联系一下
"ene giedudu khanunda ala we, kharahu liaozhe imutu khanun",这几天热死了，晚上都这么热
made cha puse giji kie se olu u lie,茶还能再给我添些吗
sagveizhi ghura bao we,终于下雨了
oliehon ese baowe,已经半年没下了
puse ulie bao se ene hon zhonla yama ghurada ne,再不下今年庄稼就没收成了
senjiaji se kanle de chezini matugiezhi sao ne,从三甲集到康乐怎么坐车
"gonhe de kuru denezhanheqiao de bouzhe, hhense kanle echiku waine,niedu ghureifa wo",到广河县城，漳河桥下车，从那有道康乐的，每天趟
"jindazho shi hezhiin se hanle de echi, hhemen se kanle de echiku chezi olon",如果赶时间的话，建议从和政到康乐，那边车走康乐的多一些
"ghurudu usu ese ire wo, fiinjieregva ne",停水三天，快疯了
ujieshilien usu ire ne,下午就来水了
puse shifiinzhun shi jiu zhen de kuru ne ,还有十分钟车就到站了
bi guanzide chogvonufa iyele echizho,我很少去饭馆吃饭
chiyi chezi bi huenyizhi ogiwola,你的车我不是还给你了吗
chini zhaopin nasun chighan no zhe chi oqiaosan hin ma,你照片好年轻啊难道你老吗
chini ende onsu ghujin waine uwo,你这里网速快不快
"mayi xiexiao ni giedun oqin,jian egvinse lodo no",咱学校的几个尕丫头，刚才打架猛的很啊
gonhe de budan khogvosan centin wainewo,广河有送餐上门的吗
"eqie magva mo jiere chehuo khizhezho,kien mejie ne,kun matu giewo, aiya,ubali no,chenliese ghua gundu shanjiwo",早上街上出车祸了，谁知道人怎么样了？惨得很，听说两个重伤
"ghura baowo,olie hon se baowo,puse se bao,zhonjia gho baragvane",终于下雨了，已经半年没下了，再不下庄稼就绝收了
"ene giedudu khalon alawo,xienideni dao imutu khalun",这几天热死了，晚上都这么热
"usu ghurudu baizho,fiinjiere wo",停水三天，快疯了
xiawude jiu usu irewo,下午就来水了
Kon otuzhi yawu dane,脚疼得走不了路了
Wiye ba,不至于吧
Matui wiye,怎么不至于
ene chezi fiinzhun jiu chezhen kuruwo,车还有十分钟就到站了
ali kun enedu xienchin de nie shiinfiinzhiin qianguwo,哪位今天在县城捡到一张身份证啊
baza se zhijie narisi kuruku chezi waine uwo,有从巴扎直达那勒寺的车吗
bi tuma agine,我买萝卜
"tuma widawo,hoyi baragvawo",没有了，已经卖完了
"enedu ghujigvan ene tiigha ijiede baragva,ulie",今天赶紧把这鸡吃完，不然明天该坏了
bi yan shihoude chezi chade huenji zhi ogi ne,我什么时候把车还给你呢
chini ene zhagvasun giedun gundu waine,你这条鱼多重
"ula man shi tagvei wo ma ,mutun uwo",山都是秃的，没有树
"ghuran kozi kuruwo,bi olonni ulie agine",我不多买，三个就够了
"miyi oqin giemerewo,bi zhugve echi alane",我女儿生病了，我好担心啊
"zhugve bu echi la,yenzhun uwo,giedudu jiu gaodawo",别担心啦，不严重，几天就好了
"jian dui ni pai dene chongon konde echise,piaoyi hoyi baragvawo",刚排队到窗口前，票就卖完了
zhiin giejia daomei giewo,真倒霉
fuchugvudu linju onlian kun ni chuji senu barei echizho,昨天隔壁家王亮拿刀把人捅了然后就被抓进去了
xiaoxin gie bu shizhigva,小心别弄洒了
bi ene fa yawulase giezhe khareizhi irese bi ulie mejiene,我这次走了不知道何时才能再来了
Mini khani khodogvo otoluwo,我的手被刀划破了
"Mini chezi mojiere dei ghaluwidawo,xiu goudahase cai yawu shida ne",我的车，路上车胎扎破了，必须修好才能走了
"Chezi gougougon de fura baoweidazhuo ,hheni shighara ghura weidazhuo",子翻到山沟里去了，他的腿摔折了
chi shi musa enbene la,你是穆萨吧
an anbene chi kien gholu,对，就是。你是
miyi niere ersa giene matan shi nie agvin nugvun,我叫尔萨。我们是一个村的
chei jienliene giesan hhaniekun,来接你的那个人
ire eneyi bi qila ye,来，这个我来提
ao chi nu jian mejieda zho chiyi mafan giegvazhi,噢，原来是你。刚才没知道。麻烦你了
ai yama segiezho igua guajiai kunla ene oran matugiezho,哎，没事。都是自己人。这地方怎么样
da gaoba idaomo jiere uzhese seigvan hha ula jiere da goni fuger waine,还好吧一路上看着挺美，那山上还有牛羊
kuijiegva wo olon zegve musi ma,天冷了，多穿点啊
an chi surusan shi yanwaine,好的。你学的是什么
bi yinyu suruzho,我学的是英语
gijicha baise ijiele youye an,过会儿去吃饭啊
anlai ene niechade oliesi wo,好的。这会儿饿了
ene shi chighan giejie,这是白纸
"fuchugvudu kai tai fugie,xiesan jien man feilie widawo",昨天风太大了，晒的衣服都刮跑了
"bi tugu hongua ijieku duran,bolusan hongua ijieku duran uwo",我喜欢吃生的黄瓜，不喜欢吃熟的
hhe malatan ijiekude tuliezhi,他再三说
"hhe izhi kieliezho,hhe udu mo jiere yawukude miyi shihua ese chujiegvawo",他那天确实是没有看到我
chi dao se ijie zhiwu,你还没吃饭呢吗
ene shiqin bi giede echide sumulade chade kielie,这个事情我回家之后再跟你说吧
jian iresan chini gaga pushuo nu,刚才来的那个人不是你哥哥吗
"a, pushuo a ,chini gaga ghala xianxian zhe a",哦，不是啊，长得和你哥哥真像啊
"chi hhende kielie,bi hheyi ereizho",你跟他说一下，我来找他了
chi hhende kielie se olu u lie,你跟他说一下好吗
"fuchugvudu ghura bao hheyi pao dene,giemerewo",昨天下雨他淋着了，所以生病了
inchon de dunxian kun wainu uwo,在银川的东乡人有没有啊
"chini shouji laoshi chujiegvese,moshou dagvane",你的手机如果被老师看见了，就会被没收
"matan bu yawuye ba,olune",我们不走了吧，好吧
magvashijie bi ijin yawulane,明天我必须得走了
"zai u lie yawuse,baer huayi baragvase matu giene",再不走钱花完了怎么办
"laoshi yawula woye? yawulawo,danshi hhe ede dunxi sumulazhi mutu pese irewo",老师走了吗，走了，但是他现在好像想起什么事情，又回来了
"fuchugvdu hheni giede khan sidarazho,hheni jiajula man sidarawo",昨天他们家着火了，他的家具都被烧了
mi shubao erei zhi oluda wo,我的书包找不到了
chi bi ghala jienyin uzhele echi u lie,你跟我去看电影吗
"bi meiliedefa xienchiin echikude ni,naran miyi qiaorun xiedene zhun zhayisan niekielien",我上次去县城的时候，太阳晒在我脑袋上跟针扎的一样
"mejiedawo, bi chini konni tayiwo",对不起我踩你脚了
jien meilie hhe kenjin ire shidane,点前他肯定能到
jien meilie hhe ire shidanu,点前他能到吗
chi mejie lie,你知道吗
"bi hheyi gie echikudeni,hheni uijien sozilazho,hhe ijin giede uwo",我上次去他家的时候，他们家门是锁着的，他一定不在家
ene sai dansun oloduzho,这菜太咸了
ene sai dansun tai chogvo,这菜太淡了
ene gie ene hon caiyine,这房子今年必须要拆了
"ene shiqin hhe echigvase,gao uwo",这事让他去不合适
ye ni egvizhi baolusenu xien kha ne wagva senu puse budan iye a,洒完农药必须洗手才能吃饭啊
chi kieliese olu u lie? chi urou egvise gao nu la,你说话可以吗？打字不是挺好的吗
mini baer chogo nu?hheni baer baer chogo,我的钱少还是他的钱少
hheni beye mashigvalase undu,他个子比谁都高
hheni baer minugvune giedugvan olon,他的钱比我多多少
da olon wo,多块
chi ghura baozhetaka ene wilie gie baragvane,你必须在下雨前把这活干完
"bi hheni ulie agine,hhe made ulie khi ne",我不会娶她的，她也绝不会嫁给我的
chi de giedudu naduwo,你在玩了几天
"chi xieni irekudeni,lalagvan de ire,mini bu chao xiereigvane",你晚上回来的时候，走路轻一点，别把我吵醒了
endegvei zemin jiere baodene ghalu widawo,鸡蛋掉在地上了，摔碎了
chi giedu fudu jiesun keroune,你需要多长的绳子
baza echikude mo giedu gholowo,去巴扎多远的路程
chi enefa echise giedu udu de khareizhi irene,你这次去几天能回来
hhela matande matui unbakuyi surugvane,他们将教我们怎么游泳
ene giedu fudu enzhasun giedun echiwo shi,这么长的缰绳得花多少钱啊
puse fade chi bu uda,下次不要再迟到了
bi sumulase hhe bosizhi irewo,我想他应该已经起来了
bi adasene osizhi undudawo,我长得比我父亲高了
bi ede erei zhi oluwo,我现在找到了
"chi jian kieliese chi magvashi irene,shihua nu",你刚才说你明天要来，是真的吗
chi yan ijiene,你吃点什么
yan liaozhe olune,什么都行
gie zhi gaodasan budan uwo,没有现成的食物
bi chade iyewuni giele echine,我去给你做饭
chi giesan ghujin no zhe,你饭做得真快
chi binji usu bu ochi,你不要喝凉水
"bi chade kielieye,hhelayi shiqin chi bu gonji",我劝你还是少管他们的事
"hhe matu gie liaozhe yeshi mini kewon a,bi idin gonjine",他再不好也是我儿子啊，我能不管他吗
chi shi musa ni yan kun wo,你是木洒的什么人
musa ni nainai enende saonu,木洒的奶奶住这里吗
chi ene ni banjide de ehigva,你把这箱子搬到架子上去
chi ghura baozhetaka ene wilie gie baragvane,你必须在下雨前把这活干完
"Hhe shi nie biinzi shu wo,chinugvun? nu",那是一本书，是你的吗
"pushi wo, minigvung pushuo,hhe shi chinugvung wo",不，不是我的，是你的
Hhe nie oqidei kun yeshi xieshin enbene u,那个女子也是学生吗
"Hhe? kun shi laoshi wo,olu zho ye",那个人是老师，对吗
"Hhela kunpa shi laoshi bimu,xieshin pese",他们也许是老师，也许是学生
Enezegven nie shi chini dunxi wo nu,这些都是你的东西吗
"enezegven dunxi dunda ezegven nie shi minugvun wo,ezegven nie shi mini gaganugvun wo",这些东西中有的是我的，有的是我哥哥的
"ene nie shon gudusun shi minugvun ye pushuo,mini gaganugvun ye pushuo,kienugvun pese ulie mejiene",至于这双靴子，既不是我的，也不是我哥哥的，不知道是谁的
chi khideini kielien kielie shidanu ,你能说汉语吗
"olu zho,bi aideini ezegven nie kielie mejiene",是的，我会一点汉语
"tere ulie mejiene,tere zhishi bijienni ene torodu kielie mejiene",她不懂，她只懂我们这儿的话
ana mini ye giede wo,我妈妈也在屋里
chi dunxi khala taiwo,你东西放哪了
"ijieku dunxila chugui de wo, yunjiku dunxila shire jiere wo",吃的东西在橱柜里，用的东西在桌子上
ende diinzi ghuar wainu,这里有两把椅子吗
chimade ...wainu,你有吗
?chimade gienan wainu,你有馍馍吗
made ghuar gienan wo,我有两个馍馍
"enudu matan ni xiaoqu ni taoer chizhe chizhelie wo,seigvan alane",今天我们小区的桃花都开了，真是太漂亮了
enudu shi yan udu wo,今天是几号
chi shi yan shijiede olusan wo,你是什么时候出生的
tere shi yan shijiede endese yawulasen wo,他是什么时候离开这里的
lidali yan shijie de pese bi matawo. dagai shi udan honku eyede woba,我忘记了确切的日期，大概是去年月吧
jijien olu wo? lienjien oluwo? oluzho ye,几点钟了？两点了，对吗
"mini biao ghudulazho,chini biao tandazhi wo",我的表快了，你的表慢了
bi sumulase lienjien se jifiin dawa wo,我想两点过几分了
"ese oluzhi wo,dao lienjien ulie olune",没呢，还没到两点
chini biao chini dakunu shifiin ghudulazhiwo,你的表大约快分钟
